score,Mathematics,Electrical Engineering,Computer Science
130,0,0,0
134,0.01,0.053,0.07
139,0.038,0.141,0.161
144,0.103,0.214,0.206
149,0.167,0.209,0.173
154,0.213,0.181,0.148
159,0.205,0.117,0.115
164,0.163,0.062,0.08
169,0.086,0.021,0.039
170,0.015,0.002,0.007
